"Date","Value"
"01/01/1915",19.25
"02/01/1915",19.25
"03/01/1915",19.25
"04/01/1915",19.25
"05/01/1915",19.25
"06/01/1915",19.25
"07/01/1915",19.25
"08/01/1915",19.25
"09/01/1915",19.25
"10/01/1915",19.25
"11/01/1915",19.25
"12/01/1915",19.25
"01/01/1916",19.47
"02/01/1916",19.47
"03/01/1916",19.47
"04/01/1916",19.47
"05/01/1916",19.47
"06/01/1916",19.47
"07/01/1916",19.47
"08/01/1916",19.47
"09/01/1916",19.47
"10/01/1916",19.47
"11/01/1916",19.47
"12/01/1916",19.47
"01/01/1917",19.66
"02/01/1917",19.66
"03/01/1917",19.66
"04/01/1917",19.66
"05/01/1917",19.66
"06/01/1917",19.66
"07/01/1917",19.66
"08/01/1917",19.66
"09/01/1917",19.66
"10/01/1917",19.66
"11/01/1917",19.66
"12/01/1917",19.66
"01/01/1918",19.84
"02/01/1918",19.84
"03/01/1918",19.84
"04/01/1918",19.84
"05/01/1918",19.84
"06/01/1918",19.84
"07/01/1918",19.84
"08/01/1918",19.84
"09/01/1918",19.84
"10/01/1918",19.84
"11/01/1918",19.84
"12/01/1918",19.84
"01/01/1919",20.03
"02/01/1919",20.03
"03/01/1919",20.03
"04/01/1919",20.03
"05/01/1919",20.03
"06/01/1919",20.03
"07/01/1919",20.03
"08/01/1919",20.03
"09/01/1919",20.03
"10/01/1919",20.03
"11/01/1919",20.03
"12/01/1919",20.03
"01/01/1920",20.63
"02/01/1920",20.63
"03/01/1920",20.63
"04/01/1920",20.63
"05/01/1920",20.63
"06/01/1920",20.63
"07/01/1920",20.63
"08/01/1920",20.63
"09/01/1920",20.63
"10/01/1920",20.63
"11/01/1920",20.63
"12/01/1920",20.63
"01/01/1921",20.69
"02/01/1921",20.69
"03/01/1921",20.69
"04/01/1921",20.69
"05/01/1921",20.69
"06/01/1921",20.69
"07/01/1921",20.69
"08/01/1921",20.69
"09/01/1921",20.69
"10/01/1921",20.69
"11/01/1921",20.69
"12/01/1921",20.69
"01/01/1922",20.84
"02/01/1922",20.84
"03/01/1922",20.84
"04/01/1922",20.84
"05/01/1922",20.84
"06/01/1922",20.84
"07/01/1922",20.84
"08/01/1922",20.84
"09/01/1922",20.84
"10/01/1922",20.84
"11/01/1922",20.84
"12/01/1922",20.84
"01/01/1923",20.75
"02/01/1923",20.75
"03/01/1923",20.75
"04/01/1923",20.75
"05/01/1923",20.75
"06/01/1923",20.75
"07/01/1923",20.75
"08/01/1923",20.75
"09/01/1923",20.75
"10/01/1923",20.75
"11/01/1923",20.75
"12/01/1923",20.75
"01/01/1924",20.78
"02/01/1924",20.78
"03/01/1924",20.78
"04/01/1924",20.78
"05/01/1924",20.78
"06/01/1924",20.78
"07/01/1924",20.78
"08/01/1924",20.78
"09/01/1924",20.78
"10/01/1924",20.78
"11/01/1924",20.78
"12/01/1924",20.78
"01/01/1925",20.75
"02/01/1925",20.75
"03/01/1925",20.75
"04/01/1925",20.75
"05/01/1925",20.75
"06/01/1925",20.75
"07/01/1925",20.75
"08/01/1925",20.75
"09/01/1925",20.75
"10/01/1925",20.75
"11/01/1925",20.75
"12/01/1925",20.75
"01/01/1926",20.72
"02/01/1926",20.72
"03/01/1926",20.72
"04/01/1926",20.72
"05/01/1926",20.72
"06/01/1926",20.72
"07/01/1926",20.72
"08/01/1926",20.72
"09/01/1926",20.72
"10/01/1926",20.72
"11/01/1926",20.72
"12/01/1926",20.72
"01/01/1927",20.75
"02/01/1927",20.75
"03/01/1927",20.75
"04/01/1927",20.75
"05/01/1927",20.75
"06/01/1927",20.75
"07/01/1927",20.75
"08/01/1927",20.75
"09/01/1927",20.75
"10/01/1927",20.75
"11/01/1927",20.75
"12/01/1927",20.75
"01/01/1928",20.78
"02/01/1928",20.78
"03/01/1928",20.78
"04/01/1928",20.78
"05/01/1928",20.78
"06/01/1928",20.78
"07/01/1928",20.78
"08/01/1928",20.78
"09/01/1928",20.78
"10/01/1928",20.78
"11/01/1928",20.78
"12/01/1928",20.78
"01/01/1929",20.72
"02/01/1929",20.72
"03/01/1929",20.72
"04/01/1929",20.72
"05/01/1929",20.72
"06/01/1929",20.72
"07/01/1929",20.72
"08/01/1929",20.72
"09/01/1929",20.72
"10/01/1929",20.72
"11/01/1929",20.72
"12/01/1929",20.72
"01/01/1930",20.69
"02/01/1930",20.69
"03/01/1930",20.69
"04/01/1930",20.69
"05/01/1930",20.69
"06/01/1930",20.69
"07/01/1930",20.69
"08/01/1930",20.69
"09/01/1930",20.69
"10/01/1930",20.69
"11/01/1930",20.69
"12/01/1930",20.69
"01/01/1931",22.59
"02/01/1931",22.59
"03/01/1931",22.59
"04/01/1931",22.59
"05/01/1931",22.59
"06/01/1931",22.59
"07/01/1931",22.59
"08/01/1931",22.59
"09/01/1931",22.59
"10/01/1931",22.59
"11/01/1931",22.59
"12/01/1931",22.59
"01/01/1932",20.78
"02/01/1932",20.78
"03/01/1932",20.78
"04/01/1932",20.78
"05/01/1932",20.78
"06/01/1932",20.78
"07/01/1932",20.78
"08/01/1932",20.78
"09/01/1932",20.78
"10/01/1932",20.78
"11/01/1932",20.78
"12/01/1932",20.78
"01/01/1933",26.47
"02/01/1933",26.47
"03/01/1933",26.47
"04/01/1933",26.47
"05/01/1933",26.47
"06/01/1933",26.47
"07/01/1933",26.47
"08/01/1933",26.47
"09/01/1933",26.47
"10/01/1933",26.47
"11/01/1933",26.47
"12/01/1933",26.47
"01/01/1934",35
"02/01/1934",35
"03/01/1934",35
"04/01/1934",35
"05/01/1934",35
"06/01/1934",35
"07/01/1934",35
"08/01/1934",35
"09/01/1934",35
"10/01/1934",35
"11/01/1934",35
"12/01/1934",35
"01/01/1935",35
"02/01/1935",35
"03/01/1935",35
"04/01/1935",35
"05/01/1935",35
"06/01/1935",35
"07/01/1935",35
"08/01/1935",35
"09/01/1935",35
"10/01/1935",35
"11/01/1935",35
"12/01/1935",35
"01/01/1936",35
"02/01/1936",35
"03/01/1936",35
"04/01/1936",35
"05/01/1936",35
"06/01/1936",35
"07/01/1936",35
"08/01/1936",35
"09/01/1936",35
"10/01/1936",35
